accuracy,congruity,height,response,rt,stimulus,subject_nr,targetSide,width,md,auc,xflips,init_time
1,incongruent,1050,1,1424,leftIncongruent.jpg,102,left,1680,0.646258260952,0.158832775072,1,340.0
1,incongruent,1050,1,1109,leftIncongruent.jpg,102,left,1680,-0.101257409398,0.0644640483298,0,340.0
1,incongruent,1050,2,1230,rightIncongruent.jpg,102,right,1680,0.982952513399,0.887932850847,0,300.0
1,incongruent,1050,2,1278,rightIncongruent.jpg,102,right,1680,0.467682401856,0.455997764872,1,360.0
1,incongruent,1050,2,1200,rightIncongruent.jpg,102,right,1680,0.168758204977,0.151263112223,1,380.0
1,congruent,1050,1,940,leftCongruent.jpg,102,left,1680,-0.307923023747,-0.339578453705,0,360.0
1,incongruent,1050,1,1329,leftIncongruent.jpg,102,left,1680,0.204804421566,0.224327119788,0,380.0
1,congruent,1050,1,1324,leftCongruent.jpg,102,left,1680,-0.228566818233,-0.240865553709,0,380.0
1,congruent,1050,2,857,rightCongruent.jpg,102,right,1680,-0.208359969364,-0.0100837440437,0,260.0
1,congruent,1050,1,958,leftCongruent.jpg,102,left,1680,-0.127624476474,-0.0728533887946,0,360.0
1,incongruent,1050,1,1022,leftIncongruent.jpg,102,left,1680,0.449390478984,0.288990460624,1,300.0
1,congruent,1050,1,1189,leftCongruent.jpg,102,left,1680,-0.162842037848,-0.184575454285,2,360.0
1,incongruent,1050,1,1007,leftIncongruent.jpg,102,left,1680,0.675978035781,0.318236966176,2,220.0
1,incongruent,1050,1,997,leftIncongruent.jpg,102,left,1680,-0.139300208817,-0.129670948467,0,260.0
1,incongruent,1050,2,1091,rightIncongruent.jpg,102,right,1680,0.886399055962,0.969041293077,0,360.0
1,congruent,1050,1,1026,leftCongruent.jpg,102,left,1680,-0.405874097414,-0.465317658946,0,340.0
1,incongruent,1050,1,1096,leftIncongruent.jpg,102,left,1680,1.2184242172,0.772199009157,1,180.0
1,incongruent,1050,1,1029,leftIncongruent.jpg,102,left,1680,1.1179033805,0.768055888906,1,240.0
1,congruent,1050,2,1009,rightCongruent.jpg,102,right,1680,-0.117849913084,-0.080601528604,0,340.0
1,congruent,1050,2,911,rightCongruent.jpg,102,right,1680,-0.125428082774,-0.134343321277,0,440.0
1,incongruent,1050,2,956,rightIncongruent.jpg,102,right,1680,0.631376392902,0.618715525255,1,300.0
1,congruent,1050,1,863,leftCongruent.jpg,102,left,1680,-0.195374587236,-0.0602162330021,0,280.0
